Variable Name,Solution Value
"prod_proc[2053,proc,clay,lce]",1061.070682
"prod_proc[2054,proc,brine,loh]",0
"prod_proc[2054,proc,brine,lce]",0
"prod_proc[2054,proc,spod,loh]",1998.349673
"prod_proc[2054,proc,spod,lce]",0
"prod_proc[2054,proc,clay,loh]",0
"prod_proc[2054,proc,clay,lce]",1102.355379
"prod_proc[2055,proc,brine,loh]",0
"prod_proc[2055,proc,brine,lce]",0
"prod_proc[2055,proc,spod,loh]",2072.368369
"prod_proc[2055,proc,spod,lce]",0
"prod_proc[2055,proc,clay,loh]",0
"prod_proc[2055,proc,clay,lce]",1143.186525
"prod_proc[2056,proc,brine,loh]",0
"prod_proc[2056,proc,brine,lce]",0
"prod_proc[2056,proc,spod,loh]",2145.414251
"prod_proc[2056,proc,spod,lce]",0
"prod_proc[2056,proc,clay,loh]",0
"prod_proc[2056,proc,clay,lce]",1183.481035
"prod_proc[2057,proc,brine,loh]",0
"prod_proc[2057,proc,brine,lce]",0
"prod_proc[2057,proc,spod,loh]",2217.358851
"prod_proc[2057,proc,spod,lce]",0
"prod_proc[2057,proc,clay,loh]",0
"prod_proc[2057,proc,clay,lce]",1223.168042
"prod_proc[2058,proc,brine,loh]",0
"prod_proc[2058,proc,brine,lce]",0
"prod_proc[2058,proc,spod,loh]",2288.096028
"prod_proc[2058,proc,spod,lce]",0
"prod_proc[2058,proc,clay,loh]",0
"prod_proc[2058,proc,clay,lce]",1262.188994
"prod_proc[2059,proc,brine,loh]",0
"prod_proc[2059,proc,brine,lce]",0
"prod_proc[2059,proc,spod,loh]",2357.541621
"prod_proc[2059,proc,spod,lce]",0
"prod_proc[2059,proc,clay,loh]",0
"prod_proc[2059,proc,clay,lce]",1300.497466
"prod_proc[2060,proc,brine,loh]",0
"prod_proc[2060,proc,brine,lce]",0
"prod_proc[2060,proc,spod,loh]",2462.710042
"prod_proc[2060,proc,spod,lce]",0
"prod_proc[2060,proc,clay,loh]",0
"prod_proc[2060,proc,clay,lce]",1358.511825
"prod_proc[2061,proc,brine,loh]",0
"prod_proc[2061,proc,brine,lce]",0
"prod_proc[2061,proc,spod,loh]",2518.773589
"prod_proc[2061,proc,spod,lce]",0
"prod_proc[2061,proc,clay,loh]",0
"prod_proc[2061,proc,clay,lce]",1389.438321
"prod_proc[2062,proc,brine,loh]",0
"prod_proc[2062,proc,brine,lce]",0
"prod_proc[2062,proc,spod,loh]",2573.869398
"prod_proc[2062,proc,spod,lce]",0
"prod_proc[2062,proc,clay,loh]",0
"prod_proc[2062,proc,clay,lce]",1419.83098
"prod_proc[2063,proc,brine,loh]",0
"prod_proc[2063,proc,brine,lce]",0
"prod_proc[2063,proc,spod,loh]",2627.989594
"prod_proc[2063,proc,spod,lce]",0
"prod_proc[2063,proc,clay,loh]",0
"prod_proc[2063,proc,clay,lce]",1449.68546
"prod_proc[2064,proc,brine,loh]",0
"prod_proc[2064,proc,brine,lce]",0
"prod_proc[2064,proc,spod,loh]",2681.137851
"prod_proc[2064,proc,spod,lce]",0
"prod_proc[2064,proc,clay,loh]",0
"prod_proc[2064,proc,clay,lce]",1479.003786
"prod_proc[2065,proc,brine,loh]",0
"prod_proc[2065,proc,brine,lce]",0
"prod_proc[2065,proc,spod,loh]",2733.328026
"prod_proc[2065,proc,spod,lce]",0
"prod_proc[2065,proc,clay,loh]",0
"prod_proc[2065,proc,clay,lce]",1507.793602
"prod_proc[2066,proc,brine,loh]",0
"prod_proc[2066,proc,brine,lce]",0
"prod_proc[2066,proc,spod,loh]",2784.582787
"prod_proc[2066,proc,spod,lce]",0
"prod_proc[2066,proc,clay,loh]",0
"prod_proc[2066,proc,clay,lce]",1536.067413
"prod_proc[2067,proc,brine,loh]",0
"prod_proc[2067,proc,brine,lce]",0
"prod_proc[2067,proc,spod,loh]",2834.932277
"prod_proc[2067,proc,spod,lce]",0
"prod_proc[2067,proc,clay,loh]",0
"prod_proc[2067,proc,clay,lce]",1563.841847
"prod_proc[2068,proc,brine,loh]",0
"prod_proc[2068,proc,brine,lce]",0
"prod_proc[2068,proc,spod,loh]",2884.41283
"prod_proc[2068,proc,spod,lce]",0
"prod_proc[2068,proc,clay,loh]",0
"prod_proc[2068,proc,clay,lce]",1591.136947
"prod_proc[2069,proc,brine,loh]",0
"prod_proc[2069,proc,brine,lce]",0
"prod_proc[2069,proc,spod,loh]",2933.065776
"prod_proc[2069,proc,spod,lce]",0
"prod_proc[2069,proc,clay,loh]",0
"prod_proc[2069,proc,clay,lce]",1617.975512
"prod_proc[2070,proc,brine,loh]",0
"prod_proc[2070,proc,brine,lce]",0
"prod_proc[2070,proc,spod,loh]",2980.936338
"prod_proc[2070,proc,spod,lce]",0
"prod_proc[2070,proc,clay,loh]",0
"prod_proc[2070,proc,clay,lce]",1644.382487
"prod_proc[2071,proc,brine,loh]",0
"prod_proc[2071,proc,brine,lce]",0
"prod_proc[2071,proc,spod,loh]",3028.072637
"prod_proc[2071,proc,spod,lce]",0
"prod_proc[2071,proc,clay,loh]",0
"prod_proc[2071,proc,clay,lce]",1670.38442
"prod_proc[2072,proc,brine,loh]",0
"prod_proc[2072,proc,brine,lce]",0
"prod_proc[2072,proc,spod,loh]",3074.524805
"prod_proc[2072,proc,spod,lce]",0
"prod_proc[2072,proc,clay,loh]",0
"prod_proc[2072,proc,clay,lce]",1696.008963
"prod_proc[2073,proc,brine,loh]",0
"prod_proc[2073,proc,brine,lce]",0
"prod_proc[2073,proc,spod,loh]",3120.344209
"prod_proc[2073,proc,spod,lce]",0
"prod_proc[2073,proc,clay,loh]",0
"prod_proc[2073,proc,clay,lce]",1721.284452
"prod_proc[2074,proc,brine,loh]",0
"prod_proc[2074,proc,brine,lce]",0
"prod_proc[2074,proc,spod,loh]",3165.582777
"prod_proc[2074,proc,spod,lce]",0
"prod_proc[2074,proc,clay,loh]",0
"prod_proc[2074,proc,clay,lce]",1746.239534
"prod_proc[2075,proc,brine,loh]",0
"prod_proc[2075,proc,brine,lce]",0
"prod_proc[2075,proc,spod,loh]",3210.292432
"prod_proc[2075,proc,spod,lce]",0
"prod_proc[2075,proc,clay,loh]",0
"prod_proc[2075,proc,clay,lce]",1770.90285
"prod_proc[2076,proc,brine,loh]",0
"prod_proc[2076,proc,brine,lce]",0
"prod_proc[2076,proc,spod,loh]",3254.524611
"prod_proc[2076,proc,spod,lce]",0
"prod_proc[2076,proc,clay,loh]",0
"prod_proc[2076,proc,clay,lce]",1795.302774
"prod_proc[2077,proc,brine,loh]",0
"prod_proc[2077,proc,brine,lce]",0
"prod_proc[2077,proc,spod,loh]",3298.329877
"prod_proc[2077,proc,spod,lce]",0
"prod_proc[2077,proc,clay,loh]",0
